LSOA code,LSOA name,LONG__y,LAT_y,LSOA IMD Score
E01008881,Birmingham 067A,-1.81463,52.4668,41.179
E01008882,Birmingham 066A,-1.82814,52.4663,59.693
E01008883,Birmingham 078A,-1.82302,52.4628,38.636
E01008884,Birmingham 078B,-1.83598,52.4603,44.315
E01008885,Birmingham 076A,-1.80704,52.4612,22.921
E01008886,Birmingham 076B,-1.81287,52.4603,39.518
E01008887,Birmingham 078C,-1.81983,52.4598,46.456
E01008888,Birmingham 076C,-1.80376,52.4582,22.717
E01008889,Birmingham 078D,-1.83296,52.4532,42.823
E01008890,Birmingham 089A,-1.82063,52.455,31.328
E01008891,Birmingham 089B,-1.80799,52.4517,24.206
E01008892,Birmingham 089C,-1.8252,52.4532,41.546
E01008893,Birmingham 089D,-1.81522,52.4518,30.457
E01008894,Birmingham 089E,-1.82147,52.448,37.129
E01008895,Birmingham 089F,-1.81191,52.4469,29.323
E01008896,Birmingham 066B,-1.81893,52.4724,54.214
E01008897,Birmingham 067B,-1.81238,52.472,36.083
E01008898,Birmingham 066C,-1.82324,52.4696,47.742
E01008899,Birmingham 037A,-1.87152,52.5079,64.848
E01008901,Birmingham 037C,-1.88233,52.5028,61.057
E01008905,Birmingham 040A,-1.91231,52.5013,53.928
E01008906,Birmingham 049A,-1.90761,52.5002,54.427
E01008907,Birmingham 040B,-1.91596,52.5013,67.824
E01008909,Birmingham 041D,-1.90218,52.4988,45.386
E01008910,Birmingham 050A,-1.88796,52.4969,50.158
E01008911,Birmingham 049B,-1.90608,52.4955,54.359
E01008913,Birmingham 050B,-1.89721,52.4959,67.372
E01008914,Birmingham 050C,-1.89878,52.4896,48.135
E01008915,Birmingham 030A,-1.87423,52.5174,42.113
E01008916,Birmingham 037E,-1.88303,52.5104,63.81
E01008917,Birmingham 102A,-2.00767,52.4414,20.608
E01008918,Birmingham 094A,-2.00009,52.4437,54.072
E01008919,Birmingham 095A,-1.97926,52.4451,39.872
E01008920,Birmingham 094B,-1.99733,52.4392,23.332
E01008921,Birmingham 094C,-2.0107,52.4461,35.266
E01008923,Birmingham 102B,-2.00587,52.4363,55.858
E01008924,Birmingham 101A,-1.98071,52.4369,32.098
E01008925,Birmingham 102C,-2.01338,52.4372,18.733
E01008927,Birmingham 102D,-2.01246,52.4314,50.533
E01008928,Birmingham 102E,-2.00425,52.4301,50.213
E01008929,Birmingham 106C,-1.98769,52.4306,62.762
E01008930,Birmingham 106D,-1.99275,52.4223,32.371
E01008931,Birmingham 094D,-1.9936,52.4464,51.975
E01008932,Birmingham 111A,-1.87458,52.4297,49.568
E01008933,Birmingham 105A,-1.86472,52.4306,31.465
E01008934,Birmingham 105B,-1.86154,52.4277,19.228
E01008935,Birmingham 111B,-1.87358,52.4244,60.175
E01008936,Birmingham 111C,-1.88353,52.4253,34.584
E01008937,Birmingham 115A,-1.86131,52.4216,44.835
E01008938,Birmingham 111D,-1.86772,52.422,50.959
E01008939,Birmingham 111E,-1.87145,52.4201,40.022
E01008940,Birmingham 115B,-1.85974,52.4149,56.944
E01008941,Birmingham 115C,-1.86504,52.4169,52.436
E01008942,Birmingham 117A,-1.87587,52.4106,42.421
E01008943,Birmingham 117B,-1.87832,52.4134,42.708
E01008944,Birmingham 115D,-1.85525,52.412,43.49
E01008945,Birmingham 122A,-1.86994,52.4122,33.14
E01008946,Birmingham 122B,-1.873,52.4071,35.355
E01008947,Birmingham 122C,-1.88247,52.4085,28.231
E01008948,Birmingham 122D,-1.88378,52.4043,21.806
E01008949,Birmingham 122E,-1.87964,52.4023,10.07
E01008950,Birmingham 113A,-1.94667,52.425,31.513
E01008951,Birmingham 112A,-1.93602,52.4266,20.834
E01008952,Birmingham 112B,-1.92107,52.4274,27.467
E01008953,Birmingham 107A,-1.91564,52.4249,34.644
E01008954,Birmingham 113B,-1.95377,52.422,21.519
E01008955,Birmingham 112C,-1.92592,52.4231,25.344
E01008956,Birmingham 112D,-1.93666,52.4209,15.361
E01008957,Birmingham 112E,-1.92362,52.4186,32.874
E01008958,Birmingham 113C,-1.95554,52.4192,39.665
E01008959,Birmingham 116A,-1.94338,52.4169,19.466
E01008960,Birmingham 116B,-1.93199,52.4181,18.062
E01008961,Birmingham 116C,-1.92971,52.4169,22.079
E01008962,Birmingham 116D,-1.95396,52.4129,52.052
E01008963,Birmingham 107B,-1.90427,52.4313,38.923
E01008964,Birmingham 107C,-1.91113,52.4354,37.57
E01008965,Birmingham 107D,-1.9125,52.4289,21.124
E01008966,Birmingham 107E,-1.90877,52.4234,58.787
E01008967,Birmingham 110A,-1.90033,52.422,14.13
E01008968,Birmingham 110B,-1.892,52.4249,15.081
E01008969,Birmingham 117C,-1.88159,52.4193,22.734
E01008970,Birmingham 110C,-1.90424,52.4227,31.077
E01008971,Birmingham 117D,-1.89082,52.4183,23.515
E01008972,Birmingham 118A,-1.91203,52.418,51.82
E01008973,Birmingham 118B,-1.90632,52.4159,30.221
E01008974,Birmingham 118C,-1.89696,52.4136,20.684
E01008975,Birmingham 118D,-1.9104,52.4109,19.943
E01008976,Birmingham 121A,-1.8891,52.4112,45.625
E01008977,Birmingham 123A,-1.91704,52.414,36.782
E01008978,Birmingham 121B,-1.89045,52.4067,78.083
E01008979,Birmingham 121C,-1.90812,52.4069,60.844
E01008980,Birmingham 121D,-1.89813,52.4066,67.673
E01008981,Birmingham 110D,-1.89741,52.4295,21.275
E01008982,Birmingham 079A,-1.91039,52.4554,20.68
E01008984,Birmingham 074A,-1.90402,52.4598,41.678
E01008986,Birmingham 064A,-1.94578,52.4742,31.779
E01008987,Birmingham 064B,-1.93239,52.4748,34.158
E01008988,Birmingham 064C,-1.93782,52.4735,29.542
E01008989,Birmingham 064D,-1.95029,52.4731,28.452
E01008990,Birmingham 064E,-1.92797,52.4671,8.186
E01008991,Birmingham 064F,-1.94514,52.4683,11.716
E01008992,Birmingham 079C,-1.93975,52.4622,12.844
E01008994,Birmingham 074B,-1.91082,52.4684,21.737
E01008995,Birmingham 134A,-1.90077,52.4654,55.428
E01008996,Birmingham 074C,-1.89823,52.4629,45.816
E01008997,Birmingham 074D,-1.91002,52.4619,23.356
E01008998,Birmingham 031A,-1.83676,52.5126,51.657
E01008999,Birmingham 031B,-1.84279,52.5149,42.242
E01009000,Birmingham 031C,-1.84656,52.5183,54.211
E01009001,Birmingham 018A,-1.84122,52.5363,27.305
E01009002,Birmingham 023A,-1.84389,52.5332,71.83
E01009003,Birmingham 018B,-1.82633,52.5321,29.563
E01009005,Birmingham 025A,-1.81963,52.5305,31.464
E01009006,Birmingham 023C,-1.84248,52.5314,34.044
E01009007,Birmingham 023D,-1.83908,52.5259,48.366
E01009008,Birmingham 028A,-1.82668,52.5255,20.881
E01009009,Birmingham 025B,-1.81935,52.5263,24.528
E01009011,Birmingham 028B,-1.82179,52.5208,24.675
E01009012,Birmingham 028C,-1.83237,52.52,25.112
E01009013,Birmingham 031D,-1.83937,52.5197,52.593
E01009014,Birmingham 090A,-1.84173,52.4444,38.311
E01009015,Birmingham 089G,-1.81965,52.4443,31.911
E01009016,Birmingham 098A,-1.83523,52.441,54.21
E01009017,Birmingham 097A,-1.84876,52.4453,35.034
